Ab	80	420
Ag	113	399
Ba	210	323
Bt	112	451
Be	188	384
Bi	54	505
Br	97	451
Ca	269	74
El	241	373
Ga	110	360
Le	83	430
Ol	223	334
Po	70	480
Pr	271	94
Ro	177	432
Sa	64	494
Wa	139	349
We	60	249
